id,blind_screen,text_status,n_ours,n_blind,matched,missed,omission_candidates
2-s2.0-85116003554,INCLUDE,ok,4,5,4,0,1
2-s2.0-85117084466,INCLUDE,ok,2,2,2,0,0
2-s2.0-85117399204,INCLUDE,ok,1,1,1,0,0
2-s2.0-85118260096,INCLUDE,ok,2,2,2,0,0
2-s2.0-85118574992,INCLUDE,ok,4,4,4,0,0
2-s2.0-85121019757,INCLUDE,ok,2,7,2,0,5
2-s2.0-85121464977,INCLUDE,ok,1,3,1,0,1
2-s2.0-85121971415,INCLUDE,ok,3,3,3,0,0
2-s2.0-85122094954,INCLUDE,ok,1,1,1,0,0
2-s2.0-85122105134,INCLUDE,ok,2,2,2,0,0
2-s2.0-85122150740,INCLUDE,ok,3,3,3,0,0
2-s2.0-85122546153,INCLUDE,ok,2,1,1,1,0
2-s2.0-85122752247,INCLUDE,ok,4,4,4,0,0
2-s2.0-85123475265,INCLUDE,ok,1,1,1,0,0
2-s2.0-85123882276,INCLUDE,ok,1,1,1,0,0
2-s2.0-85124307830,INCLUDE,ok,6,10,6,0,2
2-s2.0-85124823821,INCLUDE,ok,1,2,1,0,1
2-s2.0-85124891836,INCLUDE,ok,1,1,1,0,0
2-s2.0-85125507154,INCLUDE,ok,1,1,1,0,0
2-s2.0-85125589301,INCLUDE,ok,1,2,1,0,0
2-s2.0-85126342062,INCLUDE,ok,1,1,1,0,0
2-s2.0-85126609259,INCLUDE,ok,6,4,4,2,0
2-s2.0-85127039075,INCLUDE,ok,2,2,2,0,0
2-s2.0-85127044816,INCLUDE,ok,1,1,1,0,0
2-s2.0-85127315618,INCLUDE,ok,1,2,1,0,0
2-s2.0-85127622287,INCLUDE,ok,1,2,1,0,1
2-s2.0-85127732083,INCLUDE,ok,2,1,1,1,0
2-s2.0-85128118104,INCLUDE,ok,1,1,1,0,0
2-s2.0-85128357498,INCLUDE,ok,2,2,2,0,0
2-s2.0-85129092713,INCLUDE,ok,1,1,1,0,0
2-s2.0-85129109345,INCLUDE,ok,1,3,1,0,1
2-s2.0-85129125310,INCLUDE,ok,1,2,1,0,0
2-s2.0-85129456715,INCLUDE,ok,1,1,1,0,0
2-s2.0-85129632573,EXCLUDE,ok,2,0,0,2,0
2-s2.0-85129781787,INCLUDE,ok,1,3,1,0,2
2-s2.0-85130071721,INCLUDE,ok,1,2,1,0,0
2-s2.0-85130165220,INCLUDE,ok,1,1,1,0,0
2-s2.0-85131073869,INCLUDE,ok,1,1,1,0,0
2-s2.0-85131254702,INCLUDE,ok,1,1,1,0,0
2-s2.0-85131270273,INCLUDE,ok,6,6,6,0,0
2-s2.0-85131270595,INCLUDE,ok,2,3,2,0,0
2-s2.0-85131964464,INCLUDE,ok,1,2,1,0,1
2-s2.0-85133302916,INCLUDE,ok,2,2,2,0,0
2-s2.0-85134325788,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-85134347861,INCLUDE,ok,1,1,1,0,0
2-s2.0-85134426953,INCLUDE,ok,2,1,1,1,0
2-s2.0-85134489939,INCLUDE,ok,0,1,0,0,0
2-s2.0-85135254144,INCLUDE,ok,1,1,1,0,0
2-s2.0-85135381095,INCLUDE,ok,4,4,4,0,0
2-s2.0-85135857201,INCLUDE,ok,1,1,1,0,0
2-s2.0-85136023139,INCLUDE,ok,1,1,1,0,0
2-s2.0-85136139565,INCLUDE,ok,1,2,1,0,0
2-s2.0-85136545530,INCLUDE,ok,1,3,1,0,2
2-s2.0-85137779722,INCLUDE,ok,1,1,1,0,0
2-s2.0-85138494787,INCLUDE,ok,2,5,1,1,4
2-s2.0-85138526885,INCLUDE,ok,1,3,0,1,3
2-s2.0-85139242483,INCLUDE,ok,1,1,1,0,0
2-s2.0-85139497631,EXCLUDE,ok,0,0,0,0,0
2-s2.0-85139734157,INCLUDE,ok,4,5,4,0,0
