study_id,text_kind,text_bytes,n_estimates,path
2-s2.0-85168270535,full_text,67427,3,data/fulltext/v2txt/2-s2.0-85168270535.txt
2-s2.0-85168520853,full_text,56971,3,data/fulltext/v2txt/2-s2.0-85168520853.txt
2-s2.0-85169326292,full_text,86936,1,data/fulltext/v2txt/2-s2.0-85169326292.txt
2-s2.0-85172813494,full_text,83771,4,data/fulltext/v2txt/2-s2.0-85172813494.txt
2-s2.0-85173224200,full_text,75309,2,data/fulltext/txt/2-s2.0-85173224200.txt
2-s2.0-85173877860,full_text,60855,1,data/fulltext/v2txt/2-s2.0-85173877860.txt
2-s2.0-85173913530,full_text,39546,1,data/fulltext/v2txt/2-s2.0-85173913530.txt
2-s2.0-85174615177,full_text,67681,1,data/fulltext/v2txt/2-s2.0-85174615177.txt
2-s2.0-85175105353,full_text,55149,1,data/fulltext/v2txt/2-s2.0-85175105353.txt
2-s2.0-85177420309,full_text,63301,12,data/fulltext/v2txt/2-s2.0-85177420309.txt
2-s2.0-85179481261,full_text,105910,2,data/fulltext/v2txt/2-s2.0-85179481261.txt
2-s2.0-85181200454,full_text,64517,2,data/fulltext/v2txt/2-s2.0-85181200454.txt
2-s2.0-85181752010,none,0,1,
2-s2.0-85182846541,full_text,70873,2,data/fulltext/v2txt/2-s2.0-85182846541.txt
2-s2.0-85184824168,full_text,51846,3,data/fulltext/v2txt/2-s2.0-85184824168.txt
2-s2.0-85186467273,none,0,1,
2-s2.0-85186874194,full_text,85596,1,data/fulltext/v2txt/2-s2.0-85186874194.txt
2-s2.0-85187117251,full_text,49463,2,data/fulltext/v2txt/2-s2.0-85187117251.txt
2-s2.0-85188806397,full_text,108022,3,data/fulltext/v2txt/2-s2.0-85188806397.txt
2-s2.0-85189974015,full_text,51017,2,data/fulltext/v2txt/2-s2.0-85189974015.txt
2-s2.0-85190817518,full_text,38815,1,data/fulltext/v2txt/2-s2.0-85190817518.txt
2-s2.0-85191357340,full_text,33076,1,data/fulltext/v2txt/2-s2.0-85191357340.txt
2-s2.0-85191403735,full_text,57388,1,data/fulltext/v2txt/2-s2.0-85191403735.txt
2-s2.0-85191807094,none,0,1,
2-s2.0-85192081358,full_text,58905,1,data/fulltext/v2txt/2-s2.0-85192081358.txt
2-s2.0-85192567032,none,0,1,
2-s2.0-85192635397,full_text,83878,4,data/fulltext/txt/2-s2.0-85192635397.txt
2-s2.0-85193588807,full_text,58761,1,data/fulltext/v2txt/2-s2.0-85193588807.txt
2-s2.0-85194023903,full_text,62017,4,data/fulltext/v2txt/2-s2.0-85194023903.txt
2-s2.0-85194075145,full_text,84181,1,data/fulltext/v2txt/2-s2.0-85194075145.txt
2-s2.0-85194112418,none,0,1,
2-s2.0-85194733750,full_text,29915,6,data/fulltext/v2txt/2-s2.0-85194733750.txt
2-s2.0-85194880315,full_text,61936,2,data/fulltext/v2txt/2-s2.0-85194880315.txt
2-s2.0-85194953420,full_text,40490,2,data/fulltext/v2txt/2-s2.0-85194953420.txt
2-s2.0-85195353413,full_text,93817,2,data/fulltext/v2txt/2-s2.0-85195353413.txt
2-s2.0-85195375481,full_text,81116,1,data/fulltext/v2txt/2-s2.0-85195375481.txt
2-s2.0-85197949220,full_text,48186,2,data/fulltext/v2txt/2-s2.0-85197949220.txt
2-s2.0-85199110625,full_text,53746,4,data/fulltext/v2txt/2-s2.0-85199110625.txt
2-s2.0-85199446608,full_text,18713,6,data/fulltext/v2txt/2-s2.0-85199446608.txt
2-s2.0-85200952814,full_text,53426,1,data/fulltext/v2txt/2-s2.0-85200952814.txt
2-s2.0-85203845655,full_text,59881,1,data/fulltext/v2txt/2-s2.0-85203845655.txt
2-s2.0-85205688160,full_text,72928,4,data/fulltext/v2txt/2-s2.0-85205688160.txt
2-s2.0-85207525286,full_text,27374,1,data/fulltext/v2txt/2-s2.0-85207525286.txt
2-s2.0-85208681084,none,0,1,
2-s2.0-85209206311,full_text,64759,1,data/fulltext/v2txt/2-s2.0-85209206311.txt
2-s2.0-85209547248,full_text,116952,5,data/fulltext/v2txt/2-s2.0-85209547248.txt
2-s2.0-85209813530,full_text,62811,2,data/fulltext/v2txt/2-s2.0-85209813530.txt
2-s2.0-85210156482,full_text,51887,1,data/fulltext/v2txt/2-s2.0-85210156482.txt
2-s2.0-85211132788,full_text,41533,1,data/fulltext/v2txt/2-s2.0-85211132788.txt
2-s2.0-85212052138,full_text,47276,1,data/fulltext/v2txt/2-s2.0-85212052138.txt
2-s2.0-85212060458,full_text,58231,2,data/fulltext/v2txt/2-s2.0-85212060458.txt
2-s2.0-85213223975,full_text,37034,3,data/fulltext/v2txt/2-s2.0-85213223975.txt
2-s2.0-85213958624,full_text,135816,1,data/fulltext/v2txt/2-s2.0-85213958624.txt
2-s2.0-85214504236,full_text,46399,4,data/fulltext/v2txt/2-s2.0-85214504236.txt
2-s2.0-85215303159,full_text,146995,2,data/fulltext/v2txt/2-s2.0-85215303159.txt
2-s2.0-85215939792,full_text,88879,2,data/fulltext/v2txt/2-s2.0-85215939792.txt
2-s2.0-85217197547,full_text,63312,1,data/fulltext/v2txt/2-s2.0-85217197547.txt
2-s2.0-85217829893,full_text,56499,3,data/fulltext/v2txt/2-s2.0-85217829893.txt
2-s2.0-85218245924,full_text,58167,2,data/fulltext/v2txt/2-s2.0-85218245924.txt
2-s2.0-85218448454,full_text,39264,1,data/fulltext/v2txt/2-s2.0-85218448454.txt
2-s2.0-85218959905,full_text,85737,1,data/fulltext/v2txt/2-s2.0-85218959905.txt
2-s2.0-85219054979,full_text,35589,2,data/fulltext/v2txt/2-s2.0-85219054979.txt
2-s2.0-86000670842,full_text,83089,3,data/fulltext/v2txt/2-s2.0-86000670842.txt
2-s2.0-86000736431,none,0,1,
2603.11058,full_text,89754,10,data/fulltext/v2txt/2603.11058.txt
NEW-jadara-2022,full_text,39773,1,data/fulltext/v2txt/NEW-jadara-2022.txt
NEW-jung-icwsm,full_text,142979,1,data/fulltext/v2txt/NEW-jung-icwsm.txt
NEW-moreno-jmirderma,full_text,45235,4,data/fulltext/v2txt/NEW-moreno-jmirderma.txt
NEW-vanantwerpen-esm,full_text,65831,3,data/fulltext/v2txt/NEW-vanantwerpen-esm.txt
OA-W2524060751,none,0,1,
OA-W2914761925,none,0,1,
OA-W2992531903,full_text,34632,6,data/fulltext/v2txt/OA-W2992531903.txt
OA-W3091627927,full_text,40343,1,data/fulltext/v2txt/OA-W3091627927.txt
OA-W3113799821,full_text,27335,1,data/fulltext/v2txt/OA-W3113799821.txt
OA-W3206858890,none,0,1,
OA-W4281924559,full_text,41776,1,data/fulltext/v2txt/OA-W4281924559.txt
OA-W4291473423,short_text,2762,2,data/fulltext/v2txt/OA-W4291473423.txt
OA-W4360608277,none,0,2,
OA-W4377015071,none,0,1,
OA-W4394831676,full_text,40060,1,data/fulltext/v2txt/OA-W4394831676.txt
OA-W4407797130,full_text,67647,4,data/fulltext/v2txt/OA-W4407797130.txt
OA-W4410388894,none,0,1,
OA-W4410566265,none,0,1,
OA-W7125772788,short_text,11,1,data/fulltext/v2txt/OA-W7125772788.txt
OA-W7133343648,full_text,14187,1,data/fulltext/v2txt/OA-W7133343648.txt
OA-W7154838691,full_text,64435,1,data/fulltext/v2txt/OA-W7154838691.txt
OA-W7155615941,none,0,1,
OA-W7161796591,full_text,33198,1,data/fulltext/v2txt/OA-W7161796591.txt
OA-W7165570035,full_text,46333,1,data/fulltext/v2txt/OA-W7165570035.txt
PMID-33304681,full_text,34156,1,data/fulltext/v2txt/PMID-33304681.txt
PMID-40061772,none,0,1,
PMID-41189872,none,0,2,
PMID-42295743,full_text,42122,3,data/fulltext/v2txt/PMID-42295743.txt
SEED-allcott2017,full_text,76407,6,data/fulltext/v2txt/SEED-allcott2017.txt
SEED-cordonnier2021,full_text,154008,3,data/fulltext/v2txt/SEED-cordonnier2021.txt
W2901308345,full_text,169410,2,data/fulltext/v2txt/W2901308345.txt
W3011186656,full_text,20576,1,data/fulltext/v2txt/W3011186656.txt
W3033912864,full_text,40187,3,data/fulltext/v2txt/W3033912864.txt
W3035025978,full_text,48302,1,data/fulltext/v2txt/W3035025978.txt
W3129222959,full_text,29665,1,data/fulltext/v2txt/W3129222959.txt
W3138656580,full_text,29021,1,data/fulltext/v2txt/W3138656580.txt
W3189543626,full_text,34958,1,data/fulltext/v2txt/W3189543626.txt
W4205602257,full_text,16560,9,data/fulltext/v2txt/W4205602257.txt
W4281770633,full_text,98578,3,data/fulltext/v2txt/W4281770633.txt
W4293124965,full_text,50443,16,data/fulltext/v2txt/W4293124965.txt
W4306964957,full_text,82610,2,data/fulltext/v2txt/W4306964957.txt
W4309243406,full_text,46476,4,data/fulltext/v2txt/W4309243406.txt
W4385567160,full_text,26847,1,data/fulltext/v2txt/W4385567160.txt
W4393231882,full_text,82993,1,data/fulltext/v2txt/W4393231882.txt
W4407878374,full_text,97786,2,data/fulltext/v2txt/W4407878374.txt
W4414446446,full_text,59115,3,data/fulltext/v2txt/W4414446446.txt
W4416223891,full_text,95203,1,data/fulltext/v2txt/W4416223891.txt
W7146985142,full_text,27944,6,data/fulltext/v2txt/W7146985142.txt
W7163893383,full_text,85414,1,data/fulltext/v2txt/W7163893383.txt
