source,oaid,doi,year,title,ruling,construct_guess
adjudication,W4416794548,10.52340/gs.2025.07.04.21,2025,Invisible Editors: Impact of AI on Media Content Quality and Trust,UNSURE,CONTENT
adjudication,W4417167038,10.1093/jsxmed/qdaf320.273,2025,(277) What AI Performs Best When Answering Commonly Asked Questions About Testosterone Replacement Therapy?,UNSURE,
adjudication,W4417292706,10.63282/3050-9262.ijaidsml-v6i3p116,2025,The Effectiveness of Social Media in Customer Risk Awareness,ELIGIBLE,CONTENT
adjudication,W7110622323,,2025,Digitalization of News: Shaping News Consumption Behavior,UNSURE,EXPOSURE
adjudication,W7117312300,10.18535/sshj.v9i12.2152,2025,"The Importance of Media Literacy in the Dissemination and Acceptance of Disaster-Related Information on Digital Platforms: Specifically, to the Ditva Tropical Cyclone Disaster in Sri Lanka in November 2025",UNSURE,RECALL
adjudication,W7117370959,10.54097/w5d78t62,2025,Current Misconceptions of Obsessive-Compulsive Disorder Among Chinese Adolescents: Causes and Implications,UNSURE,RECALL
adjudication,W7117887723,10.70382/bjhss.v10i6.056,2026,THE ROLE OF SOCIAL MEDIA IN IMPROVING POLITICAL PARTICIPATION IN NIGERIA: A CASE STUDY OF 2023 GENERAL ELECTIONS IN NIGER STATE,UNSURE,RECALL
adjudication,W7118367196,10.5281/zenodo.18165338,2025,"Awareness, Usage and Challenges of online news platform among Lagos State Local government workers",UNSURE,RECALL
adjudication,W7127141106,10.54660/.ijhsi.2026.2.1.10-15,2026,The Impact of Social Media on Shaping Voter’s Political Opinions: A Study of the 2024 Presidential Election in Sri Lanka,UNSURE,RECALL
adjudication,W7128435088,10.4314/iijikm.v16i2.1,2026,"Cybersecurity risk of frequent social media use among Gen Z influencers: A case study of university student Facebook users in Kisii University, Kenya",UNSURE,CONTENT
adjudication,W7133342276,10.32832/amk.v4i4.3075,2025,Changes in the News Paradigm in Online Journalism,UNSURE,RECALL
adjudication,W7133591808,,2025,REDES SOCIALES Y DESINFORMACIÓN ECONÓMICA: IMPACTO EN LA CIUDADANÍA DIGITAL,UNSURE,RECALL
adjudication,W7134270978,10.5281/zenodo.18921992,2026,"Social Media as Source of Oral Health Information-Seeking among Adult Residents of Jos-South Local Government Area, Plateau State, Nigeria",UNSURE,RECALL
adjudication,W7134272174,10.21608/pijth.2026.459522.1029,2026,Reshaping the Way Hotel Guests Make Decisions: Unpacking the Role of New Media Literacy in Online Hotel Booking Platforms,UNSURE,RECALL
adjudication,W7134276768,10.1002/rai2.70041,2026,Performance evaluation of large language models in answering patients' questions about treatment of connective tissue diseases,UNSURE,CONTENT
adjudication,W7134806723,10.5281/zenodo.18940320,2026,Perceived Credibility of Online News Media Among Lagos State Local Government Workers,UNSURE,
adjudication,W7147005413,10.5281/zenodo.19369236,2026,Assessing Urban Women's Perception Of The Credibility Of Health Information Shared On Social Media Platforms,UNSURE,RECALL
adjudication,W7154697307,10.9790/0837-3101044951,2026,"Digital Democracy In India: Social Media, Public Opinion And Election Polling (2010 – 2025)",UNSURE,RECALL
adjudication,W7155216858,10.21676/23897856.6368,2025,"Between truth and doubt: The credibility of social networks, an analysis of perceptions of truthfulness",UNSURE,RECALL
adjudication,W7159817698,10.55737/psi.2026a-51177,2026,"Political Awareness, Media Influence, and Voting Behavior: Evidence from University Students in Punjab, Pakistan",UNSURE,
adjudication,W7162463844,10.25259/csdm_32_2026,2026,Psychological impact of the glass skin ideal on young social media users: A cross-sectional study,UNSURE,RECALL
adjudication,W7162938155,10.69916/jkbti.v5i2.444,2026,AN ANALYSIS OF FEAR OF MISSING OUT (FOMO) AS A DRIVER OF HOAX DISSEMINATION IN THE PRABOWO ERA USING MLP,UNSURE,CONTENT
adjudication,W7163665229,10.59415/mjacs.363,2026,INVESTIGATING THE ROLE OF SOCIAL MEDIA IN MEDIA LITERACY EDUCATION AMONG POST GRADUATION STUDENTS OF TUMKUR,ELIGIBLE,RECALL
adjudication,W7163804487,10.65521/ijrdmr.v15i2.3255,2026,The Role of Social Media in Influencing Investment Decisions,UNSURE,RECALL
adjudication,W7163821603,10.1017/s0029665126102663,2026,A study exploring the relationship between social media use and nutrition-related practices among secondary school students in London,ELIGIBLE,RECALL
adjudication,W7164553173,10.5281/zenodo.20666361,2026,IMPACT OF SOCIAL MEDIA USAGE ON CAREER DECISION-MAKING OF HIGHER SECONDARY STUDENTS,UNSURE,RECALL
adjudication,W7165841923,10.69714/ynh55n47,2026,PENGARUH AI DI MEDIA SOSIAL TERHADAP PENYEBARAN HOAKS DAN PERSEPSI KEPERCAYAAN MAHASISWA PROGRAM STUDI KOMPUTERISASI AKUNTANSI UNIVERSITAS SRIWIJAYA,UNSURE,
adjudication,W7166018808,10.5281/zenodo.20923723,2026,"A Multivariate Analysis of Factors Influencing the Spread of Misinformation among Undergraduates of the Federal University of Technology, Akure, Nigeria",UNSURE,
adjudication,W7167365399,10.1080/01605682.2026.2689428,2026,"An optimisation model for minimising fake news dissemination: the role of user demographics, content characteristics, and intervention strategies",UNSURE,SHARING
adjudication,W7169800343,10.24198/inf.v6i1.69305,2026,The role of social media as information infrastructure for the integration and information practices of migrant communities,UNSURE,RECALL
adjudication,W7170062586,10.67371/ajsss.v1i1.5,2026,Use and Misuse of Social Media and National Security in Africa : A Delicate Balance between Order and Liberty in Kenya,UNSURE,RECALL
adjudication,W7171979756,10.58812/wsiss.v4i03.2983,2026,The Influence of Religiosity and Digital Literacy on Anti-Religious Misinformation Behavior Among Social Media Users in Indonesia,UNSURE,
adjudication,W7172294287,10.51878/social.v6i3.13647,2026,PENGARUH PENGGUNAAN MEDIA SOSIAL BERMUATAN INTOLERAN TERHADAP SIKAP TOLERANSI MAHASISWA PPKn UNIVERSITAS TANJUNGPURA,UNSURE,RECALL
adjudication,W7172338269,10.47772/ijriss.2026.100700353,2026,The Role of Social Media as a Platform for Citizen Journalism in Sri Lanka,UNSURE,RECALL
adjudication,W7172541068,10.1177/16094069261464498,2026,Assessing Local Experiences of Health Phenomena: A Methodology for Social Media Surveillance in Public Health,UNSURE,CONTENT
adjudication,W7203664307,10.55737/trt/v-v.300,2026,The Role of Artificial Intelligence in Combating Climate Change Misinformation Across Digital Media Platforms,UNSURE,RECALL
adjudication,W7204253215,10.1016/j.jfscie.2026.100081,2026,The reliability of answers about root canal retreatment provided by artificial intelligence chatbots,UNSURE,CONTENT
adjudication,W7204608296,,2026,Evaluating the Clinical Utility of Large Language Models in Otolaryngology Patient Education,UNSURE,CONTENT
adjudication,W7204831837,10.1177/2325967126s00290,2026,"Paper 32. Performance & Promises: A Social Media Review of Alleged Indications, Risks and Usage of “Peptides” in Musculoskeletal Health",UNSURE,CONTENT
adjudication,W4221106178,10.1016/j.vaccine.2022.03.024,2022,Hesitancy towards COVID-19 vaccines on social media in Canada,UNSURE,CONTENT
adjudication,W4311288517,10.1007/s10461-022-03922-z,2022,Impact of COVID-19 on HIV Prevention Access: A Multi-platform Social Media Infodemiology Study,UNSURE,CONTENT
adjudication,W4417119300,10.1007/s13187-025-02804-x,2025,Quality Assessment of Videos about Radiotherapy-Related Oral Mucositis on YouTube in Brazil,ELIGIBLE,CONTENT
